aalib 1.4rc5-14
acl 2.3.1-2
acpi 1.7-3
acpid 2.0.33-1
adobe-source-code-pro-fonts 2.038ro+1.058it+1.018var-1
adwaita-icon-theme 42.0+r1+gc144c3d75-1
alacritty 0.10.1-1
alsa-firmware 1.2.4-2
alsa-lib 1.2.6.1-1
alsa-plugins 1:1.2.6-3
alsa-topology-conf 1.2.5.1-1
alsa-ucm-conf 1.2.6.3-1
alsa-utils 1.2.6-1
amdgpu-pro-libgl 22.10_1395274-1
amtk 5.4.0-1
anki 2.1.49-3
aom 3.3.0-1
arc-darkest-theme-git r172.c8bdaead59-1
archlinux-keyring 20220424-1
argon2 20190702-4
at-spi2-atk 2.38.0-1
at-spi2-core 2.44.1-1
atk 2.38.0-1
atkmm 2.28.2-2
attr 2.5.1-2
audio-recorder 3.3.4-1
audit 3.0.8-1
autoconf 2.71-1
autoconf-archive 1:2022.02.11-1
automake 1.16.5-1
avahi 0.8+22+gfd482a7-3
awesome 4.3-3
base 2-2
bash 5.1.016-1
bash-completion 2.11-2
bat 0.20.0-2
bazel 5.1.1-1
bc 1.07.1-4
binutils 2.38-4
bison 3.8.2-4
blueberry 1.4.6-1
bluez 5.64-2
bluez-libs 5.64-2
bluez-tools 0.2.0-5
bluez-utils 5.64-2
boost 1.78.0-2
boost-libs 1.78.0-2
box2d 2.4.1-1
brave-bin 1:1.38.111-1
breezy 3.2.1-2
brotli 1.0.9-8
btrfs-progs 5.17-1
bubblewrap 0.6.1-1
bzip2 1.0.8-4
c++utilities 5.14.0-1
c-ares 1.18.1-1
ca-certificates 20210603-1
ca-certificates-mozilla 3.78-1
ca-certificates-utils 20210603-1
cabextract 1.9.1-2
cairo 1.17.6-2
cairomm 1.14.3-2
cantarell-fonts 1:0.303.1-1
cdparanoia 10.2-8
celt 0.11.3-4
ceph-libs 15.2.14-5
chrony 4.2-1
cifs-utils 6.15-1
clang 13.0.1-2
clucene 2.3.3.4-11
cmake 3.23.1-1
compiler-rt 13.0.1-1
confuse 3.3-3
coreutils 9.1-1
cpio 2.13-2
cppunit 1.15.1-2
cryptsetup 2.4.3-2
cups 1:2.4.1-1
cups-filters 1.28.15-1
curl 7.83.0-1
dav1d 1.0.0-1
db 5.3.28-5
dbus 1.14.0-1
dbus-glib 0.112-2
dbus-python 1.2.18-3
dconf 0.40.0-1
desktop-file-utils 0.26-2
device-mapper 2.03.15-1
diffutils 3.8-1
discord 0.0.17-1
dkms 3.0.3-1
dmenu 5.1-1
